Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,66.9 °F,61.0 °F,81%,29.88 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Overcast
1:53 AM,66.0 °F,62.1 °F,87%,29.88 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Overcast
2:25 AM,66.0 °F,62.1 °F,87%,29.88 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
2:33 AM,64.9 °F,62.1 °F,90%,29.88 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
2:46 AM,64.9 °F,62.1 °F,90%,29.88 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Overcast
2:53 AM,64.9 °F,62.1 °F,90%,29.88 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Overcast
3:53 AM,66.0 °F,62.1 °F,87%,29.87 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Overcast
4:53 AM,66.0 °F,62.1 °F,87%,29.87 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
5:48 AM,64.4 °F,62.6 °F,94%,29.88 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
5:53 AM,64.9 °F,62.1 °F,90%,29.88 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
6:53 AM,64.9 °F,62.1 °F,90%,29.88 in,7.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
7:53 AM,66.0 °F,62.1 °F,87%,29.90 in,7.0 mi,West,4.6 mph,  -,N/A,	 ,Overcast
8:53 AM,66.9 °F,62.1 °F,84%,29.91 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
9:53 AM,70.0 °F,62.1 °F,76%,29.91 in,7.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,71.1 °F,63.0 °F,75%,29.91 in,8.0 mi,WSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,72.0 °F,62.1 °F,71%,29.92 in,8.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,73.0 °F,62.1 °F,68%,29.91 in,8.0 mi,WSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,72.0 °F,61.0 °F,68%,29.91 in,8.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:13 PM,73.0 °F,61.0 °F,66%,29.91 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,73.0 °F,61.0 °F,66%,29.90 in,10.0 mi,West,13.8 mph,19.6 mph,N/A,	 ,Partly Cloudy
3:53 PM,72.0 °F,61.0 °F,68%,29.89 in,10.0 mi,West,11.5 mph,19.6 mph,N/A,	 ,Partly Cloudy
4:53 PM,71.1 °F,61.0 °F,70%,29.88 in,10.0 mi,West,11.5 mph,19.6 mph,N/A,	 ,Partly Cloudy
5:53 PM,70.0 °F,61.0 °F,73%,29.88 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,69.1 °F,61.0 °F,75%,29.88 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,66.9 °F,61.0 °F,81%,29.88 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,66.9 °F,61.0 °F,81%,29.90 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,68.0 °F,61.0 °F,78%,29.91 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,68.0 °F,61.0 °F,78%,29.92 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,68.0 °F,60.1 °F,76%,29.92 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
